Country,1991,1995,2000,2001,2003,2005,2008
Austria,3381.07,3356.75,3566.05,3761.80,3974.88,4123.58,4016.59
Canada,7504.78,7834.87,8010.93,8171.99,7914.66,8364.4,8248.28
China,744.49,869.19,866.72,867.13,858.11,1043.97,1301.19,1598.52
Germany,4306.24,4127.77,4128.42,4219.19,4144.34,4163.33,4076.28
India,380.24,389.69,412.24,450.05,449.89,459.88,543.02
Italy,2645.67,2799.32,3011.88,3021.06,3114.73,3137.384,2942.62
Japan,3583.48,3867.5,4090.38,4017.15,3963.47,4073.75,4031.99
Saudi Arabia,4175,4734.29,5054.8,5157.1,5434.78,6053.81,5888.25
United Kingdom,3708.49,3727.46,3785.48,3785.79,3731.13,3692.26,3390.31
United States,7631.52,7763.37,8056.55,7825.18,7788.32,7840.53,7481.02
